"PostID","UserID","UserName","Comment","Timestamp","Datasource"
"74711","356206","Raymond Stewart","Why isn't everyone talking about Daybreak? it breaks new ground","2021-08-26 14:03:32","facebook"
"47187","982942","Nichole Bradley","The CGI in Tiny Pretty Things is groundbreaking. Some actors outshine others.","2021-03-26 23:20:31","facebook"
"76102","122557","Jamie Shields","The characters in Gentefied are wonderfully developed. Some actors outshine others.","2024-06-16 10:58:13","facebook"
"106953","662365","Summer Mahoney","I wish the supporting character from Ragnarok had more screen time. they had such potential","2022-06-09 19:00:48","facebook"
"50247","750006","Barbara Webb","Netflix really knows how to tell a story with The Last Kingdom. beautifully crafted","2021-12-12 18:08:42","facebook"
"67397","146895","Thomas Reyes","I can’t believe more people aren’t watching Sense8. it needs more recognition","2021-10-02 02:47:47","facebook"
"70925","30158","Evelyn Santos","Bridgerton is hands down the best Netflix series. The plot twists keep me on the edge of my seat.","2021-05-12 07:14:32","facebook"
"67689","364416","Mark Rios","I can't wait to talk about Luke Cage with everyone. share the experience","2022-04-27 17:49:13","facebook"
"12702","587122","Stephen Simmons","The character arcs in Lockwood & Co. are beautifully developed. Every character feels so real.","2021-03-07 05:06:42","facebook"
"24016","236608","Crystal Munoz","Does anyone else feel like Gentefied ended too soon? controversial","2022-01-03 06:56:12","facebook"
"107942","889821","Curtis Kane","How does Netflix keep producing hits like Ozark? The cast is phenomenal.","2023-02-14 09:04:53","facebook"
"2239","501309","Dr. Craig Wiley","The slow burn in The Politician is inconsistent. Did not see that coming!","2022-05-18 15:00:16","facebook"
"24790","127647","Teresa Floyd","The character development in The Irregulars is so well-written. Some actors outshine others.","2022-12-13 11:55:28","facebook"
"96432","421308","Gary Walters","Why does Lost in Space make me feel anxious? it really resonates with my experiences","2023-09-17 07:59:01","facebook"
"49476","121320","David Harrell","The CGI in The Haunting of Hill House is realistic. I'm invested in every performance.","2022-09-08 03:30:19","facebook"
"3126","334263","Rachel Brewer","Netflix really knows how to tell a story with 13 Reasons Why. beautifully crafted","2021-01-09 16:28:51","facebook"
"112138","88062","Heather Turner","Blood & Water raises some important questions. beautifully explored","2024-08-24 01:12:45","facebook"
"43624","667953","Felicia Chandler","The Punisher has such deep themes. thought-provoking","2024-04-29 16:47:15","facebook"
"70114","633051","Harold Conner","The soundtrack in The Politician is perfectly matched to the scenes. It really sets the mood for each scene.","2022-03-15 23:57:49","facebook"
"66192","163178","Steven Johnson","Finished The Eddy, now what should I watch next? Suggestions?","2022-01-09 14:53:40","facebook"
"50110","143763","David Rogers","the supporting character in Luke Cage is my new favorite character. fascinating to watch","2021-11-22 18:00:52","facebook"
"107626","967139","Philip White","The Punisher was my quarantine escape. it became my comfort show","2023-06-27 22:27:49","facebook"
"63689","294763","Deborah Roberts","The attention to detail in Bridgerton is thorough in its details. Some actors outshine others.","2022-12-15 00:47:04","facebook"
"909","521109","Daniel Weaver","I can’t believe more people aren’t watching Dark. it should be trending","2023-06-27 05:41:14","facebook"
"79107","52761","Angel Le","I need more shows like Cobra Kai. It's so relatable.","2023-03-07 19:25:55","facebook"
"88846","771560","Samuel Kelly","Everyone needs to see Ozark. it sets a new standard for the genre","2021-04-07 16:41:31","facebook"
"95256","591673","Kenneth Anderson","Snowpiercer had such an unexpected twist. game-changing","2021-12-29 01:49:48","facebook"
"85582","769558","Patrick Neal","Unpopular opinion: It's overrated about Snowpiercer.","2023-02-01 08:55:29","facebook"
"46473","298824","Barbara Case","The plot of Bridgerton is so expertly crafted. Did not see that coming!","2022-03-08 12:15:24","facebook"
"28639","23921","Miguel Weber","I can’t believe they killed off the villain in Unbelievable. I didn't see it coming","2024-10-12 10:28:52","facebook"
"59229","560625","Mackenzie Williams","The cinematography in The Haunting of Bly Manor is award-worthy. The visual effects are mind-blowing.","2023-09-06 01:43:52","facebook"
"85427","394479","Charles Cooke","Just started Outlander, and I’m already Did not see that coming!. Couldn't stop watching!","2021-05-19 17:49:04","facebook"
"101895","774403","Cheryl Hess","The season finale of Blood & Water was controversial. No spoilers, but wow!","2021-06-18 19:58:11","facebook"
"75384","792326","Kristin Gardner","Finished Peaky Blinders, now what should I watch next? Suggestions?","2023-03-10 12:07:03","facebook"
"90727","95583","Kevin Lynch","Did anyone else cry during the climax in Outlander? the scene was powerful","2021-05-11 08:41:28","facebook"
"13536","249944","Timothy Blevins","The soundtrack in Shadow and Bone is distracting. It really sets the mood for each scene.","2023-01-03 08:22:32","facebook"
"48938","12322","Kathleen Fleming","The story arc in Hollywood is well-planned. Some actors outshine others.","2023-06-20 05:10:40","facebook"
"95624","901272","Javier Freeman","Cheer is overrated. it lost its original charm","2022-09-09 17:32:45","facebook"
"27204","662713","Wendy Tapia","Netflix always knows what I like. Found Russian Doll and it's exactly my type of show.","2024-09-25 19:58:55","facebook"
"106803","31480","David Huang","How does Netflix keep producing hits like Sweet Magnolias? The storyline is incredible.","2023-12-27 16:01:54","facebook"
"68944","142984","Colleen Washington","Netflix really outdid themselves with Elite. The storyline is incredible.","2023-08-29 07:59:20","facebook"
"2637","656978","Samantha Davis","Wish Netflix would renew The Queen's Gambit for another season. It's too good to end now.","2022-05-18 13:53:18","facebook"
"94940","748719","Rachel Vaughan","The Circle should be required watching. Couldn't stop watching!","2023-08-26 17:18:47","facebook"
"80655","723924","Edwin French","I can't get enough of the drama in Greenhouse Academy. keeps me on edge","2022-05-02 06:28:24","facebook"
"89365","611868","Crystal Jackson","Everyone needs to see Emily in Paris. the acting alone makes it worth watching","2021-07-11 04:57:20","facebook"
"12730","446799","Carolyn Miller","The Good Place should definitely get a spinoff. would be fascinating","2021-01-03 15:44:48","facebook"
"52852","105495","Jessica Cook","The slow burn in Cheer is rushed. No spoilers, but wow!","2022-02-05 14:49:45","facebook"
"78770","777655","Bruce Guerrero","The CGI in Behind Her Eyes is stunning. Some actors outshine others.","2022-10-29 16:10:42","facebook"
"32024","56778","Jack Davis","Blood & Water was exactly what I needed this weekend. perfect escape from reality","2023-04-30 08:57:38","facebook"
"6109","332717","Mark Dunn","I’ve never seen anything like The OA. it breaks all conventions","2024-10-17 07:45:09","facebook"
"60588","730023","Amy Hart","Why isn’t Netflix promoting You more? needs better exposure","2021-03-26 15:35:20","facebook"
"40584","72594","Curtis Johnston","The chemistry between the actors in Too Hot to Handle is lacking. I'm invested in every performance.","2022-10-06 21:33:21","facebook"
"45739","328915","Betty Patton","Everyone needs to see Squid Game. the production quality is outstanding","2023-05-31 02:38:01","facebook"
"113702","07350","Monica Frazier","Has anyone watched Raising Dion? Is it worth the hype?","2022-07-04 23:40:31","facebook"
"86754","525901","Christina Peterson","Locke & Key raises some important questions. thought-provoking","2023-10-06 13:01:47","facebook"
"119087","411379","Casey Curry","I can't wait to talk about Jessica Jones with everyone. share the experience","2021-04-29 15:26:21","facebook"
"52444","996924","Greg Jackson","Dark is the best thing I’ve seen on Netflix in a while. the characters are unforgettable","2021-01-28 07:31:39","facebook"
"104912","698947","Jessica Ortega","Warrior Nun has such deep themes. beautifully explored","2021-02-18 01:58:49","facebook"
"68057","463627","Anita Hamilton DDS","Stranger Things vs The Irregulars - which one should I watch first?","2021-03-13 11:11:06","facebook"
"77722","966873","Diane Stewart","I didn't expect Lupin to be this good. exceeded all expectations","2024-05-23 06:55:51","facebook"
"9338","938659","Louis Baker","I'm late to the party, but Raising Dion is No spoilers, but wow!. It's so relatable.","2023-06-20 11:51:24","facebook"
"116910","525715","Juan Mccormick","Russian Doll is the talk of the town. everyone's watching it","2024-05-21 11:28:34","facebook"
"683","311840","Charlene Lynn","Just subscribed to Netflix. Any recommendations like Raising Dion?","2023-03-03 17:49:01","facebook"
"5041","33477","Scott Stokes","Netflix really knows how to tell a story with Inside Job. well-paced","2022-07-03 15:10:19","facebook"
"98601","46954","Gail Hill","The diversity in Messiah is setting a new standard. It's great to see such a diverse cast.","2021-07-20 03:51:09","facebook"
"57773","863631","Alexandria Moody","Lockwood & Co. reminded me of I Am Not Okay with This. but even better","2024-10-10 01:24:55","facebook"
"12791","952745","Patricia Le","the fan favorite in Hollywood is my new favorite character. perfectly portrayed","2024-07-07 09:38:17","facebook"
"52358","536275","Jeffrey Williams","Just started Blood & Water, and I’m already No spoilers, but wow!. Couldn't stop watching!","2024-06-28 13:56:15","facebook"
"114933","287200","Paula Dyer","Everyone needs to see The Punisher. every episode is a masterpiece","2021-01-06 07:57:27","facebook"
"80091","278089","Judith Lutz","The latest season of Russian Doll is It was okay, I guess.. raised the bar","2023-11-05 05:46:51","facebook"
"41730","29656","Rebecca Phelps","Inside Job is so binge-worthy. it's that engaging","2023-02-11 14:32:31","facebook"
"54491","967098","Gregory Horne","The story arc in Trinkets is well-planned. Every character feels so real.","2023-02-12 01:01:16","facebook"
"101817","417919","Travis King","Does anyone else rewatch White Gold? it's my comfort show","2023-03-28 14:56:04","facebook"
"111693","400063","Megan Baker","Just started Cobra Kai, and I’m already I'm still processing what I saw.. Absolutely mind-blowing!","2024-01-08 11:19:19","facebook"
"98314","464495","Brad Figueroa","The Punisher was exactly what I needed this weekend. just what I was looking for","2023-10-04 06:05:54","facebook"
"25581","551779","Jennifer Brady","Netflix needs to improve their subtitles. They're falling behind competitors in this area.","2023-05-17 12:12:22","facebook"
"78819","611042","Reginald Dunn","I can't stop recommending Gentefied to everyone. the characters are unforgettable","2022-05-19 14:59:16","facebook"
"34115","994141","Michael Gonzalez","The cinematography of Outlander deserves an award. memorable","2024-08-23 23:51:31","facebook"
"10239","192240","Allen Rivera","I can't believe how Gentefied ended. wanting more","2022-08-14 05:41:55","facebook"
"45584","561813","Joann Fernandez","Canceled my Netflix subscription because I'm switching to a competitor. Will miss On My Block though.","2021-06-04 02:30:03","facebook"
"39222","162458","Krystal Kim","The soundtrack in The Politician is my new favorite playlist. distracting","2022-08-17 13:44:10","facebook"
"29028","927536","Lisa Bradley","The diversity in Jessica Jones is could be better. It's great to see such a diverse cast.","2021-08-17 12:40:49","facebook"
"99781","24154","Joel Baker","Everyone needs to see The Baby-Sitters Club. the production quality is outstanding","2022-03-04 21:26:43","facebook"
"61113","356886","Kenneth Blankenship","Netflix always knows what I like. Found Emily in Paris and it's exactly my type of show.","2023-07-12 19:16:49","facebook"
"79338","309004","Willie Huang IV","The latest season of Vikings: Valhalla is Couldn't stop watching!. changed everything","2021-07-19 03:13:48","facebook"
"55045","386805","Charles Hall","Why does The Chilling Adventures of Sabrina make me feel emotional? it brings up memories","2024-08-10 15:31:23","facebook"
"30277","654031","Chad Tanner","Black Mirror season finale left me confused. No spoilers, but wow!","2024-08-03 02:46:10","facebook"
"63435","469385","Julie Gray","Wish House of Cards had more character development. it's essential for the genre","2021-06-02 18:30:23","facebook"
"88618","255628","Eric Perez","Netflix's original content like Love is Blind is better than most network shows. They're taking more risks.","2022-10-24 17:59:07","facebook"
